epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,394.471,1.64407,2.41757,0.0088,0.56987,0.62517,0.60205,0.33122,1.63713,1.38158,0.01268,0.0099896,0.00332987,0.0099896,0.00332987,0.0099896,0.00332987,0.0099896,0.00332987
2,700.683,1.60129,1.30311,0.00869,0.59269,0.64882,0.62752,0.35874,1.58178,1.22948,0.01296,0.0197917,0.00659724,0.0197917,0.00659724,0.0197917,0.00659724,0.0197917,0.00659724
3,984.739,1.6532,1.37968,0.00934,0.54071,0.52567,0.5156,0.26562,1.75495,1.57651,0.01563,0.0293958,0.0097986,0.0293958,0.0097986,0.0293958,0.0097986,0.0293958,0.0097986
4,1269.52,1.7095,1.45137,0.01001,0.6675,0.62661,0.63028,0.34695,1.66883,1.20154,0.01417,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1551.37,1.66204,1.3208,0.00943,0.61327,0.67907,0.64691,0.35916,1.61362,1.11686,0.01371,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1827.98,1.63524,1.2563,0.00918,0.61754,0.69962,0.67576,0.38477,1.56332,1.04693,0.01249,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,2114.88,1.61117,1.20802,0.00893,0.61066,0.70718,0.68196,0.38664,1.54843,1.00458,0.01226,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,2396.32,1.59206,1.16529,0.00886,0.63806,0.74271,0.70397,0.41566,1.50578,0.9594,0.0118,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,2680.03,1.57524,1.12993,0.00864,0.65283,0.74039,0.71029,0.42737,1.49362,0.94421,0.01165,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,2968.66,1.56155,1.10615,0.00852,0.6543,0.78156,0.73775,0.44023,1.47823,0.85926,0.01153,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,3247.72,1.554,1.07939,0.00847,0.67498,0.77081,0.73821,0.45334,1.44638,0.85154,0.01098,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,3531.08,1.54687,1.06114,0.00836,0.65708,0.7829,0.74179,0.45834,1.43729,0.82961,0.01089,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,3818.3,1.53845,1.04465,0.00831,0.68403,0.77725,0.74708,0.46262,1.42302,0.81063,0.01067,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,4097.61,1.52501,1.02671,0.00815,0.66873,0.80143,0.75692,0.47244,1.41445,0.79925,0.0106,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,4378.57,1.51868,1.01431,0.00817,0.67268,0.79605,0.75717,0.47573,1.3985,0.79949,0.01034,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,4660.82,1.50569,1.01285,0.00806,0.68814,0.79334,0.7571,0.47652,1.39248,0.78684,0.01027,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,4946,1.50575,0.99554,0.008,0.70127,0.79999,0.76934,0.4861,1.39058,0.76807,0.01024,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,5227.49,1.49877,0.97326,0.00797,0.68686,0.81098,0.76824,0.48837,1.38041,0.76089,0.01012,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,5510.94,1.49677,0.96904,0.00793,0.68538,0.82033,0.77388,0.49311,1.37183,0.75534,0.00992,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,5795.94,1.48677,0.96139,0.00786,0.68919,0.8227,0.77621,0.49713,1.36584,0.74892,0.00986,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,6089.72,1.49027,0.9479,0.00779,0.70527,0.81047,0.77893,0.50011,1.36112,0.7377,0.0098,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,6368.98,1.47179,0.94019,0.00776,0.70553,0.81999,0.78022,0.50305,1.35375,0.73617,0.0097,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,6656.51,1.46901,0.93096,0.00781,0.70788,0.82828,0.78188,0.50365,1.35412,0.72665,0.00966,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,6959.28,1.46808,0.92625,0.00766,0.70664,0.82707,0.77988,0.50579,1.347,0.72629,0.00961,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,7257.43,1.46578,0.91502,0.00763,0.70302,0.82925,0.78135,0.5094,1.34058,0.72404,0.00955,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,7556.41,1.45936,0.91617,0.00758,0.70122,0.82616,0.77917,0.50818,1.3373,0.72568,0.00949,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,7855.6,1.45745,0.89847,0.00754,0.70694,0.83102,0.78373,0.51136,1.33355,0.72148,0.00943,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,8148.04,1.4469,0.89878,0.00755,0.70823,0.83238,0.78749,0.51505,1.33189,0.71579,0.0094,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,8432.73,1.44219,0.8836,0.00747,0.7068,0.83816,0.78759,0.51474,1.33057,0.71241,0.00939,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,8740.26,1.43863,0.8829,0.00741,0.70353,0.83953,0.78485,0.51355,1.32577,0.7141,0.00933,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,9042.02,1.44019,0.881,0.00741,0.70569,0.83969,0.78523,0.51486,1.32337,0.71239,0.00931,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,9342.33,1.43453,0.87662,0.00741,0.71002,0.8374,0.78676,0.51624,1.32207,0.71018,0.00929,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,9634.97,1.42765,0.8709,0.00741,0.70837,0.83932,0.78736,0.51693,1.32013,0.70914,0.00928,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,9926.33,1.42803,0.87078,0.00729,0.70833,0.83952,0.78749,0.51743,1.31895,0.70936,0.00926,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,10233,1.42812,0.85227,0.00728,0.71053,0.83814,0.78796,0.51796,1.3182,0.70829,0.00926,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,10522.5,1.42175,0.85285,0.00729,0.70849,0.83774,0.78693,0.51749,1.31737,0.70739,0.00925,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,10828.5,1.41524,0.84629,0.00728,0.70798,0.83763,0.78775,0.51802,1.31669,0.70604,0.00924,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,11144,1.4077,0.83597,0.00718,0.70767,0.84241,0.78829,0.51841,1.31586,0.70517,0.00923,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,11436.2,1.40563,0.84264,0.00724,0.70966,0.83983,0.78955,0.51952,1.31565,0.70336,0.00923,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,11719.1,1.40797,0.83674,0.00715,0.70976,0.83717,0.78908,0.51934,1.31452,0.70406,0.00921,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,12019.7,1.40477,0.83141,0.0071,0.71,0.83842,0.78868,0.51912,1.31442,0.70304,0.00921,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,12310.2,1.39325,0.81765,0.00708,0.70766,0.84134,0.78907,0.51947,1.31326,0.70356,0.0092,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,12596.2,1.39244,0.82067,0.00712,0.7091,0.84232,0.78884,0.51988,1.31178,0.70384,0.00918,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,12885,1.38921,0.81652,0.00707,0.7101,0.83999,0.78889,0.52008,1.31124,0.7037,0.00917,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,13171.1,1.38696,0.80992,0.00705,0.7089,0.83968,0.78881,0.52021,1.31027,0.7043,0.00915,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,13451.4,1.37843,0.80397,0.00699,0.70863,0.84305,0.78897,0.52045,1.30946,0.70378,0.00914,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,13735.4,1.37736,0.80123,0.00699,0.70809,0.84052,0.78897,0.52112,1.30906,0.70317,0.00914,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,14018.5,1.3709,0.80041,0.0069,0.70811,0.84229,0.78872,0.52094,1.30786,0.70389,0.00913,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,14307,1.37026,0.78893,0.0069,0.71004,0.84219,0.7896,0.52138,1.30767,0.70296,0.00912,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,14595.7,1.37221,0.78681,0.00685,0.7088,0.84257,0.78894,0.52099,1.30726,0.7033,0.00912,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,14885.5,1.35928,0.78277,0.00684,0.71149,0.84172,0.78913,0.52111,1.30695,0.7024,0.00912,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,15171.2,1.35413,0.77083,0.00678,0.71135,0.8401,0.789,0.52128,1.30667,0.70165,0.00911,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,15471.6,1.35377,0.76865,0.00677,0.70787,0.84551,0.78888,0.52129,1.30605,0.70153,0.00911,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,15904.7,1.34872,0.76449,0.00674,0.71029,0.84473,0.78946,0.52196,1.30515,0.69989,0.0091,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,16395.6,1.34763,0.75884,0.00672,0.71096,0.84517,0.78888,0.52142,1.30441,0.69985,0.0091,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
